station_type,station_name,member_casual,total_rides,latitude,longitude
End,California Ave & Montrose Ave,casual,1010,41.961068,-87.695439
End,California Ave & Montrose Ave,member,2154,41.961068,-87.695439
End,California Ave & North Ave,casual,1516,41.910044,-87.697167
End,California Ave & North Ave,member,2249,41.910044,-87.697167
End,California Ave & Touhy Ave,casual,192,42.0120368,-87.7004371
End,California Ave & Touhy Ave,member,194,42.0120368,-87.70043710000002
End,California Ave & Winona St,casual,154,41.97471063636364,-87.69785745454546
End,California Ave & Winona St,member,392,41.97471064285714,-87.69785742857142
End,California Blvd & 29th St,casual,2,41.84024,-87.69413
End,California Blvd & 29th St,member,5,41.84024,-87.69413
End,Calumet Ave & 18th St,casual,3137,41.85761755293753,-87.61941075325012
End,Calumet Ave & 18th St,member,5462,41.85761757577844,-87.61941076230757
End,Calumet Ave & 21st St,casual,2385,41.85418424947,-87.6191537415
End,Calumet Ave & 21st St,member,2446,41.85418424947,-87.6191537415
End,Calumet Ave & 33rd St,casual,699,41.83472,-87.61797
End,Calumet Ave & 33rd St,member,2438,41.83472,-87.61797
End,Calumet Ave & 35th St,casual,381,41.831379,-87.618034
End,Calumet Ave & 35th St,member,554,41.831379,-87.618034
End,Calumet Ave & 51st St,casual,262,41.80229465088,-87.6180535802
End,Calumet Ave & 51st St,member,267,41.80229465088,-87.6180535802
End,Calumet Ave & 71st St,casual,36,41.76550800581,-87.616917925
End,Calumet Ave & 71st St,member,12,41.76550800581,-87.616917925
End,Calumet Park,casual,80,41.71370983035615,-87.53084421157837
End,Calumet Park,member,73,41.71370983035615,-87.53084421157837
End,Campbell Ave & 51st St,casual,95,41.800940000000004,-87.68676
End,Campbell Ave & 51st St,member,6,41.80094,-87.68676
End,Campbell Ave & Augusta Blvd,casual,1119,41.899578,-87.689497
End,Campbell Ave & Augusta Blvd,member,2396,41.899578,-87.689497
End,Campbell Ave & Fullerton Ave,casual,824,41.92463247165,-87.6893070063
End,Campbell Ave & Fullerton Ave,member,1178,41.92463247165,-87.6893070063
End,Campbell Ave & Irving Park Rd,casual,339,41.95362474926254,-87.6907872861357
End,Campbell Ave & Irving Park Rd,member,636,41.95362438050314,-87.69078749685535
End,Campbell Ave & Montrose Ave,casual,818,41.961524000000004,-87.691177
End,Campbell Ave & Montrose Ave,member,2930,41.961524,-87.691177
End,Campbell Ave & North Ave,casual,1301,41.910535,-87.689556
End,Campbell Ave & North Ave,member,3831,41.910535,-87.689556
End,Canal St & Adams St,casual,3553,41.879255,-87.639904
End,Canal St & Adams St,member,14115,41.879255137142756,-87.63990409147029
End,Canal St & Harrison St,casual,928,41.874255000000005,-87.63957300000001
End,Canal St & Harrison St,member,2528,41.874255,-87.639573
End,Canal St & Jackson Blvd,casual,2597,41.878125,-87.639968
End,Canal St & Jackson Blvd,member,11192,41.87812885221747,-87.63997008228885
End,Canal St & Lake St,casual,1436,41.88597,-87.63999000000001
End,Canal St & Lake St,member,5414,41.88597,-87.63999
End,Canal St & Madison St,casual,6863,41.882409,-87.639767
End,Canal St & Madison St,member,22496,41.882409,-87.639767
End,Canal St & Monroe St,casual,1829,41.8829056,-87.6397409
End,Canal St & Monroe St,member,7829,41.8829056,-87.6397409
End,Canal St & Taylor St,casual,1902,41.870257,-87.639474
End,Canal St & Taylor St,member,3640,41.870257,-87.639474
End,Cannon Dr & Fullerton Ave,casual,2897,41.9267559875,-87.6344287848
End,Cannon Dr & Fullerton Ave,member,1862,41.9267559875,-87.6344287848
End,Carpenter St & 63rd St,casual,10,41.77987,-87.650919
End,Carpenter St & 63rd St,member,2,41.77987,-87.650919
End,Carpenter St & Fulton St,casual,1424,41.88668,-87.65315
End,Carpenter St & Fulton St,member,3708,41.88668,-87.65315000000001
End,Carpenter St & Huron St,casual,2619,41.894556,-87.653449
End,Carpenter St & Huron St,member,5898,41.894556,-87.653449
End,Carpenter St & Lake St Public Rack,casual,213,41.885586,-87.6531893
End,Carpenter St & Lake St Public Rack,member,732,41.885586,-87.6531893
End,Central & Elston,casual,75,41.9855,-87.7682
End,Central & Elston,member,72,41.9855,-87.7682
End,Central Ave & Altgeld St,casual,132,41.9258119,-87.7663685
End,Central Ave & Altgeld St,member,142,41.9258119,-87.7663685
End,Central Ave & Chicago Ave,casual,33,41.89494321212121,-87.76495345454546
End,Central Ave & Chicago Ave,member,71,41.894958,-87.764902
End,Central Ave & Harrison St,casual,30,41.872993,-87.76449900000001
End,Central Ave & Harrison St,member,23,41.872993,-87.764499
End,Central Ave & Lake St,casual,95,41.887664,-87.765469
End,Central Ave & Lake St,member,170,41.887664,-87.765469
End,Central Ave & Madison St,casual,45,41.880121,-87.763238
End,Central Ave & Madison St,member,97,41.880121,-87.763238
End,Central Ave & Parker Ave,casual,68,41.93017973529412,-87.7661203
End,Central Ave & Parker Ave,member,83,41.930179259036144,-87.76612083975904
End,Central Ave & Roscoe St,casual,57,41.942275,-87.76695
End,Central Ave & Roscoe St,member,49,41.942275,-87.76695
End,Central Ave & Wellington Ave,casual,91,41.9349097,-87.7667718
End,Central Ave & Wellington Ave,member,36,41.9349097,-87.7667718
End,Central Park & Augusta Blvd,casual,21,41.8989108,-87.7164901
End,Central Park & Augusta Blvd,member,242,41.8989108,-87.7164901
End,Central Park Ave & 24th St,casual,214,41.848099999999995,-87.71506799999999
End,Central Park Ave & 24th St,member,73,41.8481,-87.715068
End,Central Park Ave & 66th St,casual,26,41.77325799999999,-87.713143
End,Central Park Ave & 66th St,member,3,41.773258,-87.713143
End,Central Park Ave & Ardmore Ave,casual,113,41.9866081,-87.71876740000002
End,Central Park Ave & Ardmore Ave,member,383,41.9866081,-87.7187674
End,Central Park Ave & Augusta Blvd,casual,49,41.89894,-87.71649
End,Central Park Ave & Augusta Blvd,member,174,41.89894,-87.71649
End,Central Park Ave & Bloomingdale Ave,casual,869,41.914166,-87.716755
End,Central Park Ave & Bloomingdale Ave,member,1713,41.914166,-87.716755
End,Central Park Ave & Douglas Blvd,casual,60,41.86235,-87.71587
End,Central Park Ave & Douglas Blvd,member,25,41.86235,-87.71587
End,Central Park Ave & Elbridge Ave,casual,1338,41.93533728263,-87.7168892935
End,Central Park Ave & Elbridge Ave,member,1962,41.93533728263001,-87.7168892935
End,Central Park Ave & North Ave,casual,502,41.90965687563,-87.7166319516
End,Central Park Ave & North Ave,member,600,41.90965687563,-87.7166319516
End,Central Park Ave & Ogden Ave,casual,290,41.854063503874464,-87.71511733531952
End,Central Park Ave & Ogden Ave,member,283,41.854063503874464,-87.71511733531952
End,Central Park Ave & Ohio St,casual,99,41.89187834343434,-87.71642947474747
End,Central Park Ave & Ohio St,member,149,41.89187664295302,-87.7164186704698
End,Central Park Ave & Washington Blvd,casual,65,41.8827476,-87.7153994
End,Central Park Ave & Washington Blvd,member,43,41.8827476,-87.7153994
End,Central Park Blvd & 5th Ave,casual,65,41.875679,-87.71547
End,Central Park Blvd & 5th Ave,member,227,41.875679,-87.71547000000001
End,Central St & Girard Ave,casual,417,42.064313000000006,-87.68615199999999
End,Central St & Girard Ave,member,632,42.06431299999999,-87.686152
End,Central St Metra,casual,639,42.063598,-87.69873
End,Central St Metra,member,591,42.063598,-87.69873
End,Cherry Ave & Blackhawk St,casual,343,41.907221,-87.65561799999999
End,Cherry Ave & Blackhawk St,member,1734,41.907221,-87.655618
End,Chicago Ave & Grove St,casual,278,42.0452227,-87.6799575
End,Chicago Ave & Grove St,member,286,42.045222700000004,-87.6799575
End,Chicago Ave & Sheridan Rd,casual,2788,42.050491,-87.677821
End,Chicago Ave & Sheridan Rd,member,3151,42.050491,-87.677821
End,Chicago Ave & Washington St,casual,1083,42.032562,-87.679101
End,Chicago Ave & Washington St,member,1856,42.032562,-87.679101
End,Chicago State University,casual,97,41.71896342165455,-87.60829567909241
End,Chicago State University,member,84,41.71896342165455,-87.60829567909241
End,Christiana Ave & Lawrence Ave,casual,614,41.96835449363,-87.7118306675
End,Christiana Ave & Lawrence Ave,member,1461,41.96835449363,-87.7118306675
End,Cicero Ave & Flournoy St,casual,34,41.872131,-87.746619
End,Cicero Ave & Flournoy St,member,20,41.872131,-87.746619
End,Cicero Ave & Lake St,casual,72,41.886841,-87.745261
